1	0.9123634695437183	0.007148079434797482
2	1.0985597203334383	0.007357524214176546
3	1.2282255459010754	0.007609992481453791
4	1.2953295054361285	0.007969173241925307
5	1.3528233325705252	0.008328502989464888
6	1.4041917553327004+2.3536451960572124*^-19*I	0.008472497188689174
7	1.4388599691849573+1.7702700728989346*^-17*I	0.008748895520765295
8	1.4737227378754403+9.570840617945007*^-17*I	0.008865229459273732
9	1.5059522132811594+2.501227190289623*^-16*I	0.009094971700983865
10	1.524503572750518+4.3676136749076897*^-16*I	0.009082431993616516
11	1.550939474004915+6.604602291617255*^-16*I	0.009135633513307689
12	1.5729445855673279+8.940759283026051*^-16*I	0.009412123175640556
13	1.5968151209300996+1.1702402212616736*^-15*I	0.009494902186428955
14	1.6089791925415877+1.4635400824803208*^-15*I	0.009696120979952132
15	1.63173639478067+1.784774040110014*^-15*I	0.00976088473892117
16	1.6424077190002886+2.0624302956748707*^-15*I	0.010006169630774771
17	1.656715931665471+2.4097775487914958*^-15*I	0.010091122845486664
18	1.6650491116192048+2.7544623780826*^-15*I	0.010145110047956636
19	1.680325454291539+3.1161193421044982*^-15*I	0.010061329259971254
20	1.7051790455451417+3.5292640887882372*^-15*I	0.010329234000666914
21	1.6998806361683285+3.874149522804464*^-15*I	0.010391587343045995
22	1.7413372916428045+4.332906006114253*^-15*I	0.010549288027881548
23	1.7358957402373472+4.699823724007556*^-15*I	0.010390625878284904
24	1.7548709939122515+5.147929195884185*^-15*I	0.010460118864481109
25	1.757879231898452+5.612141854459643*^-15*I	0.010544301020240121
26	1.7726832336911595+6.0502401126127454*^-15*I	0.010690914014254359
27	1.7864977694048934+6.492360203908395*^-15*I	0.01062114313591096
28	1.7945276639786665+7.007651584515221*^-15*I	0.010712705970102387
29	1.8070017109740966+7.510262988280197*^-15*I	0.011105735376000925
30	1.8191307972303634+7.993555355959779*^-15*I	0.011014432328498516
31	1.8210034874011536+8.544763088366004*^-15*I	0.010992532333053359
32	1.8259973014306004+9.111851639520136*^-15*I	0.011060567970309427
33	1.8441760848618964+9.65291858190969*^-15*I	0.010812706461994469
34	1.8300732243029383+1.018939840265188*^-14*I	0.011155450620270272
35	1.8569480193040935+1.0695396811633781*^-14*I	0.010977217740901421
36	1.8412395859935924+1.1341201702908253*^-14*I	0.011413200964988563
37	1.8598527420465305+1.1865056227618917*^-14*I	0.010927434281190905
38	1.8629160760635597+1.2527423537896401*^-14*I	0.01136383899744898
39	1.8526787096879775+1.3145847687549679*^-14*I	0.010988187113566484
40	1.8725734490574877+1.368484198711448*^-14*I	0.011553380861917685
41	1.866078085030842+1.4381007647263013*^-14*I	0.011222405714240904
42	1.8767061301606827+1.487367309284336*^-14*I	0.011497268023440152
43	1.874650738202323+1.566796361590187*^-14*I	0.011194961910652284
44	1.8878878042433371+1.6136920681569146*^-14*I	0.01152093111745752
45	1.8853650261492882+1.678034158321391*^-14*I	0.011349081553235947
46	1.902759866622049+1.7455628591731662*^-14*I	0.011711447100263077
47	1.8917314523663145+1.800044695292449*^-14*I	0.011415432801889634
48	1.9098409623537635+1.871283992455734*^-14*I	0.011688403435369445
49	1.8958515336416482+1.931428639553087*^-14*I	0.011480208515306673
50	1.9102534236886164+1.998650500743205*^-14*I	0.012003978909772117
51	1.918205029047409+2.0628413764291174*^-14*I	0.011601514250531747
52	1.9188221871760487+2.1379533093192656*^-14*I	0.012259217271925376
53	1.9114318775325478+2.202681833369232*^-14*I	0.01159979926411772
54	1.9188808533607558+2.262229361764904*^-14*I	0.012275007150872373
55	1.918023988165871+2.3316049061306925*^-14*I	0.011670093085321463
56	1.924515234363924+2.3976133965476198*^-14*I	0.012178075410046757
57	1.9308457919756525+2.4629001266621706*^-14*I	0.011663199202353636
58	1.9361054327629272+2.529771000210554*^-14*I	0.01230561153675665
59	1.941650054316195+2.5962045643908283*^-14*I	0.011655873012985565
60	1.9509196139685712+2.6644663705615245*^-14*I	0.012206137730642627
61	1.9354231926194543+2.7405162384324207*^-14*I	0.011926106989701256
62	1.9454717419510306+2.7831412223212145*^-14*I	0.012525200165896295
63	1.941476438937282+2.881910300338839*^-14*I	0.011756518253602438
64	1.945596606593839+2.9642213011330207*^-14*I	0.012585177446894564

