2	0.9594356961414215
4	1.174417736663997
6	1.3336919193170769
8	1.4046923431752196
10	1.5023347178960724
12	1.5372335890142008
14	1.6115110855302917
16	1.6293386554901226
18	1.6911863006559111
20	1.698792542842411
22	1.7528934352214227
24	1.753491640731832+3.970546544805177*^-16*I
26	1.8023013799627545
28	1.797630463433836+3.3296132829384515*^-15*I
30	1.8426117404982896+2.3269105413174554*^-15*I
32	1.8336953385281198+5.426312704836243*^-15*I
34	1.875802277112083+2.442223430997549*^-15*I
36	1.8632714263126007+3.4449732932677607*^-15*I
38	1.9031720776923018+7.398980119270972*^-15*I
40	1.8874207979102562+4.6338950682907206*^-15*I
42	1.9256115565657992+1.1894984250791156*^-14*I
44	1.9068785949732572+7.734533360166631*^-15*I
46	1.9437484286978821+1.1694542943267719*^-14*I
48	1.9221626191384218+3.857003017795309*^-15*I
50	1.9580319131998396+1.078973540784805*^-14*I
52	1.9336378807834425+1.667961975714965*^-14*I
54	1.9687836400490535-2.9933494859145968*^-15*I
56	1.9415558968616191+1.2994503765100664*^-14*I
58	1.9762293613934996+2.9388096858349356*^-14*I
60	1.946078810364955+2.3532974669412675*^-14*I
62	1.980518877428661+1.3353526272449832*^-14*I
64	1.9472936699589856+2.3982092322274798*^-14*I
