2	0.9705623485196663
4	1.1611178142629497
6	1.3422574780940957
8	1.3861859943131356
10	1.5051156702478599
12	1.5102525769140234
14	1.6053830746314983
16	1.5902827453092157
18	1.6729108360677598
20	1.6437545934649413
22	1.7190099285706397+2.3576503564578534*^-16*I
24	1.6781455445983844+6.975736996017264*^-16*I
26	1.7490296568944188+3.4688708805664946*^-15*I
28	1.6970606073030756+7.743836350374249*^-15*I
30	1.7657298804871713+1.3283930939942981*^-14*I
32	1.702146110692086+1.9143381912496826*^-14*I

